,Macrophage,B_cell,T_cell,Myoepithelial,Endothelial,Tumor,min_CV
TUBA1B,0.9473846056951115,1.1201635726044958,1.219179874657401,0.9564598776184815,0.9209904170259394,0.5808494492743187,0.5808494492743187
KRT19,3.135574978654,4.282291720098757,2.684451561313712,2.8225461962219196,4.791658442769216,0.5896789993950858,0.5896789993950858
HNRNPL,1.2347656196159555,1.1920637963382426,1.3000837936244474,1.1558880209084628,1.1705212771154563,0.59220565171777,0.59220565171777
PDAP1,1.5836704027686759,1.3573275034480454,1.5509262862446254,1.4481633587707592,1.6442638996042322,0.6232516753376838,0.6232516753376838
TOMM7,1.085174297119344,1.0610063819317055,1.0880178941688479,0.9834670622216226,1.0344502132082691,0.625545465919545,0.625545465919545
SDC1,1.4056850489977695,1.2612572400642996,1.4754014480917501,1.1318892660276036,1.7500334823530301,0.637501566932045,0.637501566932045
NDRG1,1.361737948799501,1.2227407549500828,1.350318469891112,1.354254019369658,1.0302085098045186,0.6442893690386078,0.6442893690386078
KRT15,2.1818175260930253,1.5879325648897813,1.887987841989859,1.601137626960758,3.506821691657873,0.6508225072243157,0.6508225072243157
ATP5MG,1.096079075706954,1.1555353725698483,1.187119158893516,1.0799742682464135,1.088038743177872,0.6542844958386843,0.6542844958386843
DSP,2.0027878449999847,1.5587610401220435,1.8380462160794682,1.453560975035042,2.696698303248494,0.6685908152886868,0.6685908152886868
ACTG2,0.9557553065529977,1.128089939275731,1.064564739102632,0.8897917755875708,0.9730955020222994,0.6738073168021081,0.6738073168021081
ACTA2,1.8200334333569512,4.713837288273542,2.50239469442606,0.6794653992089249,1.2048870098223456,3.668227002240292,0.6794653992089249
FADS2,1.8506634975283447,1.4796916888477945,1.7600210151781783,1.7426627910596546,2.06353927162214,0.6822332770107257,0.6822332770107257
VTCN1,2.200892293744435,1.5513438021378354,1.8734904868367566,1.7921602484289108,3.2980179657374804,0.7007064286423899,0.7007064286423899
TPD52,1.946298251092861,1.5478859023658698,1.8353884639080429,1.8346086566118922,2.457334307382829,0.7137548788753374,0.7137548788753374
HINT1,1.2513617047202972,1.2603480531461577,1.2586964571468857,1.1686684057388064,1.157791766317594,0.7208462060851009,0.7208462060851009
SARAF,0.8554009964421612,1.0819444023141767,0.9748533124335268,0.9963815513000784,0.9364798408770711,0.7397584021982402,0.7397584021982402
HDGF,1.7524781482554033,1.525428854309511,1.7058795157192823,1.6636200118943232,1.9446321844587593,0.7449425332586305,0.7449425332586305
HLA-G,0.786663173345727,1.0864140603729884,0.9109735543794962,1.1278589052517791,0.7481732273219154,0.7707562669914024,0.7481732273219154
COL4A1,1.5805957678540232,1.6964259495943945,1.9021406736362325,1.2098883442445996,0.7555411954431,1.660302085966155,0.7555411954431
AQP1,1.714260085849439,1.3544655568148116,1.6235608242760715,1.2917095620680654,0.7635403999854831,1.100052815540547,0.7635403999854831
MYLK,2.115517973402506,4.8064038603964,2.796465185489454,0.7660476575566174,1.3553868052330407,3.1124883140223734,0.7660476575566174
CIRBP,1.016055423501112,1.0336264549704184,1.1505012105060508,0.8417885649179631,0.8835420112872352,0.7829181429827283,0.7829181429827283
HMGA1,1.502506900708051,1.5741930869999052,1.6518715274830085,1.7520379224624962,2.3573575302007757,0.7846060567677372,0.7846060567677372
PGK1,1.5421226205907592,1.454870329430926,1.5792222408935537,1.6819483530458523,1.641418535188068,0.7935874119762771,0.7935874119762771
HSPD1,1.511224189407566,1.405445308612231,1.5581109939240725,1.3222631446518174,1.448865977939111,0.8062362240560744,0.8062362240560744
TMA7,1.287393888184447,1.3270578521512042,1.3000127313607008,1.2627726763934857,1.1877290683154422,0.814699759372882,0.814699759372882
TAGLN,1.5082924375419064,1.9816952171828621,1.9169150690113044,0.8218063901266087,1.0613119472500434,2.4464961852655627,0.8218063901266087
PTN,2.0881152122706452,1.6399052330899728,1.8770762535359424,1.487648271405545,2.7936193068422153,0.8280109512576956,0.8280109512576956
KRT6B,2.1174924772291375,1.856283862689345,2.0604637103455237,1.8343724387815032,3.3660385344956762,0.8306795696728523,0.8306795696728523
PHGDH,2.339159977554616,1.7401400403730327,2.031850569224501,1.9199006488791062,2.9854949554077543,0.8319375512433274,0.8319375512433274
HSPG2,2.1390126154932783,1.9831310521976664,2.221411246602557,1.6036068079826122,0.8857470306234442,1.9010719620584449,0.8857470306234442
VWF,5.1209531348229245,7.594372398369941,6.392755589699617,6.876640617690229,0.9035200617273456,5.516342501760295,0.9035200617273456
LENG8,1.3681134230930254,1.3718253972642005,1.468384989600047,1.2512885962462519,1.2553943491708042,0.9229849521161922,0.9229849521161922
